Algoritmo,Acuracia %,Precisao,Recall,F-Measure
NaiveBayes,65.9375,0.685,0.659,0.654
SMO,87.522,0.876,0.875,0.875
Part,76.9744,0.770,0.770,0.770
Vote,3.8462,?,0.038,?
OneR,10.441,?,0.104,?
K Star,3.8462,?,0.038,?
Stacking,3.8462,?,0.038,?
J48,74.9333,0.750,0.749,0.749
RandomForest,91.1429,0.912,0.911,0.911
Bayes,73.1113,0.738,0.731,0.732
